id,name
1,Boston Celtics
2,Brooklyn Nets
3,New York Knicks
4,Philadelphia 76ers
5,Toronto Raptors
6,Chicago Bulls
7,Cleveland Cavaliers
8,Detroit Pistons
9,Indiana Pacers
10,Milwaukee Bucks
11,Atlanta Hawks
12,Charlotte Hornets
13,Miami Heat
14,Orlando Magic
15,Washington Wizards
16,Golden State Warriors
17,Los Angeles Clippers
18,Los Angeles Lakers
19,Phoenix Suns
20,Sacramento Kings
21,Dallas Mavericks
22,Houston Rockets
23,Memphis Grizzlies
24,New Orleans Pelicans
25,San Antonio Spurs
26,Denver Nuggets
27,Minnesota Timberwolves
28,Oklahoma City Thunder
29,Portland Trail Blazers
30,Utah Jazz
